algorithm,model,feature,metric,ss,pct_with_error,pct_without_error
algo2,Mistral,Array/List & Tag/Adjacency,accuracy,0.4772766012396699,0.05581130566150093,0.10140305192120794
algo2,Mistral,Beam Width,accuracy,6.725637052341447,0.786475985459111,1.4289410405839387
algo2,Mistral,Beam vs Contrastive,accuracy,169.2905496728695,19.79633317211677,35.967777078657626
algo2,Mistral,Contrastive Penalty,accuracy,181.35795884986297,21.20746009593883,38.53164070857534
algo2,Mistral,Convergence,accuracy,2.0064053891184455,0.23462307635052107,0.4262845262460322
algo2,Mistral,Convergence & Beam Width,accuracy,0.4602660123966935,0.05382213801546179,0.09778895137830604
algo2,Mistral,Convergence & Beam vs Contrastive,accuracy,0.006749311294765923,0.0007892443809279546,0.001433970913046844
algo2,Mistral,Convergence & Contrastive Penalty,accuracy,0.4163266184573015,0.04868399602533928,0.0884535080872465
algo2,Mistral,Convergence & Greedy vs Beam/Contrastive,accuracy,0.37068870523416425,0.04334723424394512,0.078757194310034
algo2,Mistral,Counterexample,accuracy,5.055238033746529,0.5911444943251951,1.0740450369421066
algo2,Mistral,Counterexample & Array/List,accuracy,0.2262504304407713,0.026457052150845088,0.048069576605244774
algo2,Mistral,Counterexample & Beam Width,accuracy,0.004407713498622776,0.0005154249018305164,0.0009364708003571507
algo2,Mistral,Counterexample & Beam vs Contrastive,accuracy,0.3426330061983532,0.04006648427554591,0.07279642963264409
algo2,Mistral,Counterexample & Contrastive Penalty,accuracy,0.46591339531680365,0.054482526170932105,0.09898880459126358
algo2,Mistral,Counterexample & Convergence,accuracy,0.02417742768595057,0.0028272364561442616,0.00513678011574794
algo2,Mistral,Counterexample & Greedy vs Beam/Contrastive,accuracy,0.19264850206611678,0.022527742625796807,0.04093044998814759
algo2,Mistral,Counterexample & Tag/Adjacency,accuracy,3.1728757747934084,0.3710266525386242,0.6741149390002334
